2022-23,Business Management Economics B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Economics/Business-Management-Economics-BA
Planner: Business Management Economics B.A. Planner 1
1,MATH 3 or AM 3,ECON 1,ECON 2
1,,AM 11A/ECON 11A,AM 11B/ECON 11B
1,,,
2,ECON 100A,ECON 100B,ECON 113
2,ECON 10A,STAT 17 & STAT 17L,ECON 10B
2,,,
3,Econ elective,Business Management elective,Business Management elective
3,,Computer Course,
3,,,
4,Business Management elective,ECON 104 or ECON 197,Field Study (optional)
4,Computer course,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",
Planner: Business Management Economics B.A. Planner 2
3,AM 11B/ECON 11B,ECON 100A,ECON 100B
3,ECON elective,Computer course,Business Management elective
3,ECON 10A,ECON 10B,STAT 17 & STAT 17L
3,,,
4,ECON 113,Business Management elective,Field Study (optional)
4,Business Management elective,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",Computer Course
Planner: Business Management Economics B.A. Planner 3
1,MATH 3 or AM 3,ECON 1,ECON 2
1,Writing course,AM 11A/ECON 11A,AM 11B/ECON 11B
1,,,
2,ECON 100A,ECON 100B,ECON 113
2,ECON 10A,ECON 10B,ECON 110
2,,STAT 17 & STAT 17L,Computer Literacy course
3,ECON 111A,ECON 111B,ECON 111C
3,ECON elective,ECON 112,ECON 116
3,,Ethics course (optional)*,
4,ECON 117B,ECON 117A,
4,Field Study internship (optional),ECON 104 or ECON 197,Field Study (optional)
Planner: Business Management Economics B.A. Planner 4
3,AM 11B/ECON 11B,ECON 100A,ECON 100B
3,ECON 111A,ECON 111B,ECON 111C
3,Computer literacy course,Ethics course (optional)*,STAT 17 & STAT 17L
4,ECON 113,"ECON 101, ECON 133 or ECON 135",ECON 110
4,ECON 117B,ECON 117A,ECON 116
2022-23,Chemistry B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Chemistry-BA
Planner: Chemistry B.A. Planner 1
1,MATH 11A or MATH 19A,MATH 11B or MATH 19B,"CHEM 1C and CHEM 1N
            (not required if CHEM 4
            series completed)"
1,"CHEM 1A or
CHEM 1B & CHEM 1M or
CHEM 4A and CHEM 1M","CHEM 1B and CHEM 1M or
CHEM 1A or
CHEM 4B and CHEM 1N",
1,,,
2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2,PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M
2,,,
3,CHEM 163A,CHEM 163B,CHEM elective
3,PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,
3,,,
4,"CHEM elective or 
CHEM 146A*",CHEM 164,"CHEM elective or 
CHEM 146B/CHEM 146C*"
4,,,
