1st (frosh),"CHEM 3A  or
CHEM 4A and CHEM 4AL","CHEM 3B & CHEM 3BL or   
CHEM 4B & CHEM 4BL","CHEM 3C & CHEM 3CL
            (not required if CHEM 4 series completed)",
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),,
2nd (soph),BIOE 20B,PHYS 6A & PHYS 6L,PHYS 6B and PHYS 6M,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,BIOL 20L*,
2nd (soph),WRIT 2****,,,
3rd (junior),BIOC 100A,BIOC 100B,BIOC 100C,
3rd (junior),PHYS 6C & PHYS 6N,BIOL 105,BIOL 101L**,
3rd (junior),,*MATH 22 (optional),,
4th (senior),BIOL 110,BIOC 163A***,BIOC 163B***,
Sample Transfer Two-Year Planner\
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),BIOC 100A,BIOC 100B,BIOC 100C,
1st (junior),PHYS 6A & PHYS 6L,BIOL 105,BIOL 101L,
1st (junior),,PHYS 6B & PHYS 6M,PHYS 6C and PHYS 6N,
2nd (senior),BIOL 110,BIOC 163A,BIOC 163B,
2nd (senior),"STAT 5
            or STAT 7 & STAT 7L",BIOL 115,Senior Exit Lab,
2023-24,Biology B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/physical-and-biological-sciences-division/ecology-and-evolutionary-biology/biology-ba
Sample Frosh Planner
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),BIOE 20C,CHEM 3A,CHEM 3B & CHEM 3BL,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),STAT 5 or STAT 7 & STAT 7L,
1st (frosh),,,,
2nd (soph),BIOL 20A,BIOE 20B,BIOL 105,
2nd (soph),WRIT 2**,PHYS 1A or PHYS 1B or PHYS 6A,,
2nd (soph),,,,
3rd (junior),BIOE 109,BIOE 107,Anatomy/Physiology,
3rd (junior),Biology elective*,,,
3rd (junior),,,,
4th (senior),Biology elective*,Biology elective*,Biology elective*,
4th (senior),,,,
Sample Transfer Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
3rd (junior),BIOL 105,BIOE 107,Anatomy/Physiology,
3rd (junior),,BIOE 109,STAT 5 or STAT 7 & STAT 7L,
3rd (junior),,,,
4th (senior),Biology elective*,Biology elective*,Biology elective*,
4th (senior),Biology elective*,PHYS 1A or PHYS 1B or PHYS 6A,,
Transfer student sample planner
2023-24,Biology B.S.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/physical-and-biological-sciences-division/molecular-cell-and-developmental-biology/biology-bs
Sample Biology B.S. First-Year Student�Four-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,
Entering,,,,
Entering,,,,
1st (frosh),CHEM 3A,CHEM 3B & CHEM 3BL,CHEM 3C & CHEM 3CL,
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,BIOL 20A,
1st (frosh),,,,
2nd (soph),BIOE 20B,BIOL 105,BIOL 100,
2nd (soph),BIOL 20L,CHEM 8B,STAT 5 or STAT 7/STAT 7L,
2nd (soph),CHEM 8A & CHEM 8L,,,
3rd (junior),BIOL 101 & BIOL 101L,BIOL 110,BIOE 107,
3rd (junior),BIOE 20C,PHYS 6A & CHEM 6L,PHYS 6B & CHEM 6M,
3rd (junior),,,,
4th (senior),BIOE 109,Biology Elective #1 of 3,Biology Elective #3 of 3,
4th (senior),PHYS 6C & PHYS 6N,Biology Elective #2 of 3,DC Lab (unless satisfied via 2 of the electives),
Sample Biology B.S. Transfer Two-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,
Entering,,,,
Entering,,,,
3rd (junior),BIOL 105,BIOL 100,BIOL 101 & BIOL 101L,
3rd (junior),BIOE 107,PHYS 6A &  PHYS 6L,PHYS 6B & BIOL 6M,
3rd (junior),,,,
4th(senior),BIOL 110,BIOE 109,Biology Elective #2 of 3,
