2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2,BIOE 20B,MATH 22,MATH 21
2,,,
3,BIOC 100A,BIOC 100B,BIOC 100C
3,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M,PHYS 6C & PHYS 6N
3,,,
4,CHEM 163A,CHEM 163B,CHEM 163C
4,,CHEM 151A & CHEM 151L,BIOC 110L
Planner: Chemistry B.S. Planner 4
1,BIOC 100A,BIOC 100B,BIOC 100C
1,,,CHEM 110 & CHEM 110L
1,,,
1,Fall,Winter,Spring
2,CHEM 163A,CHEM 163B,CHEM 163C
2,,CHEM 151A & CHEM 151L,BIOC 110L
2020-21,Classical Studies B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Humanities-Division/History/Classical-Studies-BA
Planner: Classical Studies B.A. Planner 1
1,GREE 1 or LATN 1,GREE 2 or LATN 2,LIT 184A or LIT 186A
1,CLST lower-division survey,,
1,,,
2,LIT 184-series/LIT 186-series,LIT 184-series/LIT 186-series,Upper-division elective
2,,,
2,,,
3,Upper-division elective,Upper-division elective,Upper-division elective
3,,,
3,,,
4,Upper-division elective,Upper-division elective,CLST 197F (2 credits)
4,,,
Planner: Classical Studies B.A. Planner 2
1,GREE 1 or LATN 1,GREE 2 or LATN 2,LIT 184A or LIT 186A
1,CLST lower-division survey,Upper-division elective,Upper-division elective
1,Upper-division elective,,
2,LIT 184-series/LIT 186-series,LIT 184-series/LIT 186-series,Upper-division elective
2,Upper-division elective,Upper-division elective,CLST 197F (2 credits)
2020-21,Cognitive Science B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Social-Sciences-Division/Psychology/Cognitive-Science-BS
Planner: Cognitive Science B.S. Planner 1
1,MATH 2,MATH 3,Calculus
1,PSYC 20,Programming,
1,,,
2,Interdisciplinary prerequisite,PSYC 2,PSYC 100
2,,Interdisciplinary prerequisite,
2,,,
3,Cognitive core,Cognitive core,Cognitive core
3,Interdisciplinary elective,Interdisciplinary elective (UD),Interdisciplinary elective
3,Cognitive elective,,
4,Interdisciplinary elective,Cognitive elective (seminar),Cognitive elective
4,,,
Planner: Cognitive Science B.S. Planner 2
1,MATH 2,MATH 3,Calculus
1,PSYC 20,Programming,
1,,,
2,Interdisciplinary prerequisite,PSYC 2,PSYC 100
2,,Interdisciplinary prerequisite,Interdisciplinary prerequisite
2,,,
3,Cognitive core,Cognitive core,Cognitive core
3,Interdisciplinary prerequisite,Cognitive elective,
3,,,
4,Cognitive elective,Interdisciplinary elective (UD),Interdisciplinary elective
4,Cognitive elective (seminar),Interdisciplinary elective,
Planner: Cognitive Science B.S. Planner 3
3,PSYC 20,Cognitive core,Cognitive core
3,PSYC 100,Interdisciplinary elective,Interdisciplinary elective
3,,,
4,Cognitive elective,Cognitive core,Cognitive elective (seminar)
4,Interdisciplinary elective,Cognitive elective,"Interdisciplinary elective
			(upper-division)"
2020-21,Community Studies B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Social-Sciences-Division/Community-Studies/Community-Studies-BA
Planner: Community Studies B.A. Planner 1
1,CMMU 10,,,
1,,,,
1,,,,
2,Topical course 1,Topical course 2,,
2,,,,
2,,,,
3,Topical course 3,CMMU 101,CMMU 102,"CMMU 105
			(15 credits)"
3,,,,
3,,,,
4,"CMMU 105
			(15 credits)",CMMU 107,"CMMU 195
			(optional)",
4,,,,
Planner: Community Studies B.A. Planner 2
3,CMMU 10,CMMU 101,CMMU 102,"CMMU 105
			(15 credits)"
3,Topical course 1,Topical course 2,Topical course 3,
3,,,,
4,"CMMU 105
			(15 credits)",CMMU 107,"CMMU 195
			(optional)",
4,,,,
2020-21,Computer Engineering B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Computer-Science-and-Engineering/Computer-Engineering-BS
Planner: Computer Engineering B.S. Planner 1
1,MATH 19A,MATH 19B,AM 30
1,CSE 12 & CSE 12L,PHYS 5A & PHYS 5L,CSE 30
1,,CSE 13S,
2,AM 10,AM 20,CSE 120
2,PHYS 5C & PHYS 5N,CSE 100 & CSE 100L,CSE 101
2,CSE 16,,PHYS 5B & PHYS 5M
3,ECE 101 & ECE 101L,CSE 107,CSE 185E
3,Concentration course,Concentration course,CSE 121 & CSE 121L
3,,,Concentration course
4,,Capstone course,Capstone course
4,ECE 103 & ECE 103L,Concentration course,Concentration course
Planner: Computer Engineering B.S. Planner 2
1,MATH 3,MATH 19A,MATH 19B
1,CSE 20,CSE 12 & CSE 12L,CSE 30
1,,,
2,PHYS 5A & PHYS 5L,PHYS 5C & PHYS 5N,PHYS 5B & PHYS 5M
2,CSE 13S,CSE 16,AM 30
2,AM 10,AM 20,CSE 101
3,ECE 101 & ECE 101L,CSE 107,CSE 185E
3,CSE 120,CSE 100 & CSE 100L,ECE 103 & ECE 103L
3,,Concentration course,Concentration course
4,,,
4,CSE 121 & CSE 121L,Capstone course,Concentration course
Planner: Computer Engineering B.S. Planner 3
3,ECE 101 & ECE 101L,CSE 107,CSE 120
3,CSE 101,CSE 100 & CSE 100L,CSE 121 & CSE 121L
3,CSE 12 & CSE 12L,CSE 185,Concentration course
4,,,
4,ECE 103 & ECE 103L,Capstone course,Capstone course
2020-21,Computer Science B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Computer-Science-and-Engineering/Computer-Science-BA
Planner: Computer Science B.A. Planner 1
1,CSE 30,CSE 12 & CSE 12L,CSE 16
1,MATH 19A,MATH 19B,
1,,,
2,CSE 13S,AM 10,CSE 101
2,,,
2,,,
3,Breadth course 1,Breadth course 2,Breadth course 3
3,Elective list 1,Elective list 2,
3,,,
4,DC elective,,"Elective list 3
            (capstone)"
4,,,
Planner: Computer Science B.A. Planner 2
1,CSE 20,CSE 30,CSE 12 & CSE 12L
1,MATH 3,MATH 19A,MATH 19B
1,,,
2,CSE 13S,AM 10,CSE 101
2,,CSE 16,
2,,,
3,Breadth course 1,Breadth course 2,Breadth course 3
3,Elective list 1,Elective list 2,
3,,,
4,DC elective,,"Elective list 3
            (capstone)"
4,,,
Planner: Computer Science B.A. Planner 3
1,CSE 12 & CSE 12L,CSE 101,Breadth list 1
1,AM 10 or MATH 21,,
2,Breadth list 2,Breadth list 3,DC elective
2,Elective list 1,Elective list 2,"Elective list 3
            (capstone)"
